session_id,charge_point,start_ts,end_ts,kwh,dwell_s,charge_duration_s,flex_headroom_s,contract_id,is_roaming,auth_type,notifiable,status,billing_status,anomaly_reason,is_anomaly,year,month
47663767,DE*LDK*E00238,2024-07-26 20:41:50+02:00,2024-07-26 21:35:24+02:00,49.154,3214.0,3214.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-07
47676874,DE*LDK*E00238,2024-07-27 10:28:45+02:00,2024-07-27 10:47:42+02:00,41.021,1137.0,1137.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-07
47683484,DE*LDK*E00238,2024-07-27 12:13:27+02:00,2024-07-27 12:40:40+02:00,15.215,1633.0,1633.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-07
47692627,DE*LDK*E00238,2024-07-27 14:55:51+02:00,2024-07-27 15:12:47+02:00,15.116,1016.0,1016.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-07
47701350,DE*LDK*E00236,2024-07-27 17:47:09+02:00,2024-07-27 18:04:05+02:00,39.925,1016.0,1016.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-07
47701727,DE*LDK*E00234,2024-07-27 17:55:00+02:00,2024-07-27 18:50:30+02:00,70.885,3330.0,3330.0,0.0,DE-LDK-C00480594,True,App,False,Beendet,Abgerechnet,-,False,2024,2024-07
47706592,DE*LDK*E00237,2024-07-27 19:48:23+02:00,2024-07-27 20:40:59+02:00,41.236,3156.0,3156.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-07
47734954,DE*LDK*E00236,2024-07-28 15:49:45+02:00,2024-07-28 16:27:31+02:00,23.831,2266.0,2266.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-07
47747779,DE*LDK*E00236,2024-07-28 21:09:02+02:00,2024-07-28 22:04:10+02:00,39.185,3308.0,3308.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-07
47800598,DE*LDK*E00234,2024-07-29 21:31:45+02:00,2024-07-29 22:11:59+02:00,56.197,2414.0,2414.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-07
47806911,DE*LDK*E00234,2024-07-30 07:21:47+02:00,2024-07-30 08:05:10+02:00,41.164,2603.0,2603.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-07
47828127,DE*LDK*E00234,2024-07-30 12:56:49+02:00,2024-07-30 13:50:35+02:00,22.873,3226.0,3226.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-07
47858922,DE*LDK*E00233,2024-07-31 07:25:52+02:00,2024-07-31 07:59:57+02:00,21.978,2045.0,2045.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-07
47880625,DE*LDK*E00235,2024-07-31 13:13:34+02:00,2024-07-31 14:31:55+02:00,34.331,4701.0,4701.0,0.0,DE-LDK-C00480572,False,Webseite,True,Beendet,Abgerechnet,-,False,2024,2024-07
47909698,DE*LDK*E00235,2024-08-01 07:22:21+02:00,2024-08-01 07:31:49+02:00,11.633,568.0,568.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-08
47910183,DE*LDK*E00234,2024-08-01 07:30:46+02:00,2024-08-01 08:42:46+02:00,65.767,4320.0,4320.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-08
47914416,DE*LDK*E00235,2024-08-01 08:23:56+02:00,2024-08-01 08:54:06+02:00,24.084,1810.0,1810.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-08
47929864,DE*LDK*E00236,2024-08-01 12:39:17+02:00,2024-08-01 12:44:39+02:00,2.585,322.0,322.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-08
47944844,DE*LDK*E00233,2024-08-01 17:20:51+02:00,2024-08-01 17:51:28+02:00,3.18,1837.0,1837.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-08
47944974,DE*LDK*E00236,2024-08-01 17:22:59+02:00,2024-08-01 17:43:35+02:00,42.394,1236.0,1236.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-08
47967932,DE*LDK*E00236,2024-08-02 08:34:15+02:00,2024-08-02 08:43:54+02:00,6.292,579.0,579.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-08
47969268,DE*LDK*E00238,2024-08-02 08:52:10+02:00,2024-08-02 09:32:21+02:00,38.405,2411.0,2411.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-08
47987908,DE*LDK*E00234,2024-08-02 14:10:35+02:00,2024-08-02 14:42:05+02:00,32.849,1890.0,1890.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-08
47988441,DE*LDK*E00236,2024-08-02 14:20:19+02:00,2024-08-02 14:33:03+02:00,15.138,764.0,764.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-08
47993664,DE*LDK*E00234,2024-08-02 15:55:19+02:00,2024-08-02 16:09:26+02:00,7.848,847.0,847.0,0.0,DE-LDK-C00480594,True,RFID,False,Beendet,Abgerechnet,-,False,2024,2024-08
